naca23024 CL_test = -1.4665, CL_pred = -1.8613
naca23024 CD_test = -1.4665, CD_pred = -1.8613
naca23024 CL_test = -1.4218, CL_pred = -1.7401
naca23024 CD_test = -1.4218, CD_pred = -1.7401
naca23024 CL_test = -1.3391, CL_pred = -1.6186
naca23024 CD_test = -1.3391, CD_pred = -1.6186
naca23024 CL_test = -1.1944, CL_pred = -1.4984
naca23024 CD_test = -1.1944, CD_pred = -1.4984
naca23024 CL_test = -1.0566, CL_pred = -1.3786
naca23024 CD_test = -1.0566, CD_pred = -1.3786
naca23024 CL_test = -0.8939, CL_pred = -1.1331
naca23024 CD_test = -0.8939, CD_pred = -1.1331
naca23024 CL_test = -0.7156, CL_pred = -0.8836
naca23024 CD_test = -0.7156, CD_pred = -0.8836
naca23024 CL_test = -0.5108, CL_pred = -0.6322
naca23024 CD_test = -0.5108, CD_pred = -0.6322
naca23024 CL_test = -0.2968, CL_pred = -0.4001
naca23024 CD_test = -0.2968, CD_pred = -0.4001
naca23024 CL_test = -0.0773, CL_pred = -0.1848
naca23024 CD_test = -0.0773, CD_pred = -0.1848
naca23024 CL_test = 0.1433, CL_pred = 0.0297
naca23024 CD_test = 0.1433, CD_pred = 0.0297
naca23024 CL_test = 0.3614, CL_pred = 0.2433
naca23024 CD_test = 0.3614, CD_pred = 0.2433
naca23024 CL_test = 0.7736, CL_pred = 0.6675
naca23024 CD_test = 0.7736, CD_pred = 0.6675
naca23024 CL_test = 0.9634, CL_pred = 0.8822
naca23024 CD_test = 0.9634, CD_pred = 0.8822
naca23024 CL_test = 1.1492, CL_pred = 1.0987
naca23024 CD_test = 1.1492, CD_pred = 1.0987
naca23024 CL_test = 1.2958, CL_pred = 1.3137
naca23024 CD_test = 1.2958, CD_pred = 1.3137
naca23024 CL_test = 1.4486, CL_pred = 1.5198
naca23024 CD_test = 1.4486, CD_pred = 1.5198
naca23024 CL_test = 1.5530, CL_pred = 1.6678
naca23024 CD_test = 1.5530, CD_pred = 1.6678
naca23024 CL_test = 1.6067, CL_pred = 1.6765
naca23024 CD_test = 1.6067, CD_pred = 1.6765
naca23024 CL_test = 1.5982, CL_pred = 1.6829
naca23024 CD_test = 1.5982, CD_pred = 1.6829
